[2025-06-23 15:41:56.795] [info]  DiscordSplash.signalReady
[2025-06-23 15:41:56.851] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-06-23 15:41:56.853] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-06-23 15:41:56.855] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-06-23 15:41:56.855] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-06-23 15:41:56.856] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-06-23 15:41:56.857] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-06-23 15:41:56.883] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-06-23 15:41:56.884] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-06-23 15:41:56.886] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-06-23 15:41:56.892] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-06-23 15:41:56.894] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-06-23 15:41:56.895] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-06-23 15:41:56.918] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-06-23 15:41:56.919] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-06-23 15:41:57.794] [info]  Splash.updateCountdownSeconds: undefined
[2025-06-23 15:41:58.353] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-06-23 15:41:58.354] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-06-23 15:41:58.794] [info]  Splash.updateCountdownSeconds: undefined
[2025-06-23 15:41:59.358] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-06-23 15:41:59.359] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-06-23 15:41:59.402] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-06-23 15:41:59.403] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-06-23 15:41:59.514] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-06-23 15:41:59.514] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-06-23 15:41:59.549] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-06-23 15:41:59.550] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
